     Grid ID        Mean
     77700	  -455.872
     77701	  -233.069
     77702	  -90.6593
     77703	  -62.3345
     77704	  -44.7325
     77705	  -16.2037
     78030	  -471.359
     78031	  -356.276
     78032	  -151.298
     78033	  -77.0278
     78034	  -57.2702
     78035	  -31.5149
     78036	  -7.61972
     78360	  -472.665
     78361	  -387.323
     78362	  -205.217
     78363	  -101.198
     78364	  -69.3559
     78365	  -46.8335
     78366	  -17.6246
     78690	  -484.443
     78691	  -382.868
     78692	  -217.267
     78693	  -119.111
     78694	  -78.4152
     78695	  -54.8848
     78696	  -26.4148
     78697	   -1.5026
     79020	  -487.912
     79021	  -425.395
     79022	  -256.225
     79023	  -137.371
     79024	  -87.0026
     79025	  -58.4681
     79026	  -28.3023
     79027	  -5.99169
     79351	  -462.961
     79352	  -320.643
     79353	  -156.525
     79354	  -94.2321
     79355	  -57.2862
     79356	   -25.994
     79357	  -6.48158
     79681	  -483.268
     79682	  -380.598
     79683	  -180.094
     79684	  -100.885
     79685	  -56.3133
     79686	  -21.8738
     79687	  -1.76539
     80012	  -416.579
     80013	  -202.639
     80014	  -107.415
     80015	  -59.7748
     80016	  -23.1621
     80342	  -432.865
     80343	   -208.87
     80344	  -111.168
     80345	  -69.3807
     80346	  -26.2918
     80347	  -7.58534
     80672	  -405.062
     80673	  -192.832
     80674	  -108.666
     80675	   -75.431
     80676	  -37.3212
     80677	  -11.8079
     81002	  -346.717
     81003	  -162.675
     81004	  -105.486
     81005	  -78.1312
     81006	  -48.3046
     81007	   -15.768
     81331	   -440.16
     81332	  -258.841
     81333	  -136.787
     81334	  -99.8992
     81335	   -78.579
     81336	  -57.1234
     81337	   -19.495
     81338	 -0.786842
     81661	  -353.319
     81662	  -173.473
     81663	  -119.852
     81664	  -93.2115
     81665	  -75.7139
     81666	  -56.8292
     81667	  -23.1931
     81668	  -6.67175
     81990	  -482.426
     81991	  -300.497
     81992	  -152.255
     81993	  -106.825
     81994	  -88.1192
     81995	  -73.2178
     81996	  -58.0925
     81997	  -25.7835
